Age,P2_5,P10,P25,P50,P75,P90,P97_5
8.9,1280.695579422765,1656.1900373494532,1990.2696653577564,2363.003134623219,2735.7366038886817,3069.816231896985,3445.310689823673
9.0,1278.5488914964133,1654.0485718323332,1988.1328462488502,2360.871499523477,2733.610152798103,3067.69442721462,3443.19410755054
9.1,1276.437648177051,1651.9427486689588,1986.0318454301419,2358.775879006668,2731.5199125831946,3065.6090093443777,3441.1141098362855
9.2,1274.3770059118483,1649.8877158290993,1983.9818033290069,2356.731405085102,2729.481006841197,3063.5750943411044,3439.0858042583554
9.3,1272.3800290605714,1647.8965275070016,1981.9957650953697,2354.7511128179294,2727.506460540489,3061.6056981288575,3437.1221965752875
9.4,1270.4576765278491,1645.9801326360705,1980.0846707911792,2352.845932369193,2725.607193947207,3059.711732102316,3435.2341882105375
9.5,1268.6188214905942,1644.1473969980448,1978.2573796186439,2351.0247156003043,2723.7920515819646,3057.9020342025638,3433.4306097100143
9.6,1266.8703011810612,1642.4051557569146,1976.520724901608,2349.2942937820508,2722.0678626624936,3056.183431807187,3431.7182863830403
9.7,1265.2169933932778,1640.7582929156188,1974.879596167113,2347.659562604731,2720.439529042349,3054.5608322938433,3430.1021318161843
9.8,1263.6619161908577,1639.2098439748247,1973.337044429678,2346.123590391704,2718.91013635373,3053.0373368085834,3428.5852645925506
9.9,1262.2063471996385,1637.7611179626983,1971.894406656303,2344.687745281399,2717.4810839064953,3051.6143726001,3427.16914336316
10.0,1260.849958859483,1636.411834994467,1970.551445379269,2343.3518371309074,2716.152228882546,3050.2918392673478,3425.8537154023315
10.1,1259.5909660751306,1635.1602756006243,1969.3064995166887,2342.114270001554,2714.922040486419,3049.0682644024837,3424.6375739279774
10.2,1258.4262828348749,1634.003438220828,1968.1566426450952,2340.9722013002693,2713.7877599554436,3047.9409643797107,3423.518119765664
10.3,1257.3516845471631,1632.9372014842224,1967.097845229694,2339.921703953981,2712.7455626782676,3046.906206423739,3422.4917233607985
10.4,1256.3619730685577,1631.9564881727933,1966.125137640532,2338.9579283690014,2711.7907190974706,3045.9593685652094,3421.553883669445
10.5,1255.4511416523733,1631.055428079253,1965.232771150227,2338.07526135338,2710.917751556533,3045.095094627507,3420.699381054387
10.6,1254.6125373271357,1630.2275173120897,1964.4143745045858,2337.2674796367096,2710.1205847688334,3044.3074419613295,3419.9224219462835
10.7,1253.839018510128,1629.4657719557508,1963.6631040654593,2336.5278960886876,2709.392688111916,3043.5900202216244,3419.2167736672473
10.8,1253.123105966597,1628.7628743522027,1962.9717859305727,2335.849497195696,2708.7272084608194,3042.9361200391895,3418.5758884247953
10.9,1252.4571255332157,1628.1113106212142,1962.3330488245072,2335.225070786859,2708.1170927492103,3042.3388309525035,3417.993016040502
11.0,1251.833341328845,1627.50349837156,1961.7394469169164,2334.6473233931406,2707.555199869365,3041.791148414721,3417.461305457436
11.1,1251.2440784704952,1626.93190386621,1961.183572049162,2334.108986964026,2707.0344018788896,3041.286070061842,3416.973895457557
11.2,1250.6818345918252,1626.3891481849898,1960.6581551318495,2333.602914948594,2706.5476747653383,3040.8166817121983,3416.5239953053624
11.3,1250.139379719967,1625.868102173186,1960.1561567087706,2333.1221679674804,2706.0881792261903,3040.376233761775,3416.1049562149938
11.4,1249.6098442989507,1625.3619701707873,1959.6708468655834,2332.6600894589506,2705.6493320523177,3039.9582087471135,3415.7103346189506
11.5,1249.0867953503046,1624.864362682713,1959.1958747946353,2332.2103717790114,2705.2248687633873,3039.55638087531,3415.333948207718
11.6,1248.5643009305581,1624.3693582756114,1958.7253284134895,2331.7671132780642,2704.808898142639,3039.164868280517,3414.9699256255703
11.7,1248.0369831797123,1623.8715550733414,1958.2537844787025,2331.324866873114,2704.3959492675253,3038.7781786728865,3414.6127505665154
11.8,1247.5000603545495,1623.366112274699,1957.7763496448322,2330.878680594981,2703.981011545129,3038.3912489152626,3414.257300835412
11.9,1246.949378307877,1622.84878213835,1957.288692899286,2330.4241305251235,2703.559568150961,3037.999478911897,3413.89888274237
12.0,1246.3814319132323,1622.3159328776592,1956.7870697651276,2329.9573464577575,2703.1276231503875,3037.5987600378558,3413.5332610022824
12.1,1245.7933769497215,1621.764562889495,1956.2683386153228,2329.4750305408334,2702.6817224663437,3037.1854981921715,3413.1566841319454
12.2,1245.1830329601141,1621.192306713878,1955.729969391859,2328.974469073904,2702.218968755949,3036.75663143393,3412.7659051876935
12.3,1244.5488775844542,1620.5974330932409,1955.170044979735,2328.453537580369,2701.737030181003,3036.309642067497,3412.3581975762836
12.4,1243.8900328587804,1619.978835478251,1954.5872554558682,2327.9106992325487,2701.2341430092292,3035.842562986846,3411.931365606317
12.5,1243.2062439609786,1619.3360153176243,1953.9808854216988,2327.3449966948397,2700.709107967981,3035.353978072055,3411.483749428701
12.6,1242.4978508890993,1618.669058476647,1953.350794639098,2326.756037464973,2700.1612802908476,3034.843016453299,3411.014224040847
12.7,1241.76575357579,1617.9786051558776,1952.6973922234556,2326.1439728360424,2699.590553448629,3034.309340516207,3410.522192096295
12.8,1241.011370977857,1617.2658137282872,1952.021604704773,2325.5094706702735,2698.997336635774,3033.75312761226,3410.00757036269
12.9,1240.23659473217,1616.5323189784176,1951.3248383445643,2324.853682265472,2698.3825261863794,3033.175045552526,3409.4707697987737
13.0,1239.4437380358952,1615.7801853075644,1950.608936188976,2324.178203701295,2697.7474712136136,3032.5762220950255,3408.912669366695
